survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alone,class_mean_fare,class_mean_age,fare_zscore
False,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,False,13.675550101832993,24.802281059063137,-0.5002397510893574
True,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,False,84.19351635514018,38.16084112149533,0.788946607905507
True,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,True,13.675550101832993,24.802281059063137,-0.48664993466069395
True,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,False,84.19351635514018,38.16084112149533,0.4228611129909654
False,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,3,male,25.0,0,0,8.4583,Q,Third,man,True,Queenstown,True,13.675550101832993,24.802281059063137,-0.47591297302898106
False,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,True,84.19351635514018,38.16084112149533,0.39794644953841574
False,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,False,13.675550101832993,24.802281059063137,-0.22190017756895475
True,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.4220570338487224
True,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,False,20.662183152173913,29.86320652173913,-0.040787184044554156
True,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,False,13.675550101832993,24.802281059063137,-0.3099823210880695
True,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,True,84.19351635514018,38.16084112149533,-0.11167166653646252
False,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,False,13.675550101832993,24.802281059063137,-0.016542951535818605
False,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,True,13.675550101832993,24.802281059063137,-0.4880753554061005
True,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,True,20.662183152173913,29.86320652173913,-0.32407546405112786
False,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,False,13.675550101832993,24.802281059063137,-0.05982903349378355
True,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,True,20.662183152173913,29.86320652173913,-0.38447464817852084
False,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.28380934129953256
True,3,female,21.5,0,0,7.225,C,Third,woman,False,Cherbourg,True,13.675550101832993,24.802281059063137,-0.5007430776237524
False,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,True,20.662183152173913,29.86320652173913,-0.12274485029315124
True,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,True,20.662183152173913,29.86320652173913,-0.38447464817852084
True,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,True,13.675550101832993,24.802281059063137,-0.48455206966533587
True,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,True,84.19351635514018,38.16084112149533,0.06851923277692655
False,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,False,13.675550101832993,24.802281059063137,-0.22190017756895475
True,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.014277982131041355
False,3,male,25.0,0,0,7.225,C,Third,man,True,Cherbourg,True,13.675550101832993,24.802281059063137,-0.5007430776237524
False,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,False,84.19351635514018,38.16084112149533,4.648790695770894
True,3,female,21.5,0,0,7.8792,Q,Third,woman,False,Queenstown,True,13.675550101832993,24.802281059063137,-0.4875720288717055
False,3,male,25.0,0,0,7.8958,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48723782005286725
False,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,True,84.19351635514018,38.16084112149533,-0.08809987827767862
True,1,female,35.0,1,0,146.5208,C,First,woman,False,Cherbourg,False,84.19351635514018,38.16084112149533,2.3037078131670836
True,3,female,21.5,0,0,7.75,Q,Third,woman,False,Queenstown,True,13.675550101832993,24.802281059063137,-0.49017322040145855
False,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,True,20.662183152173913,29.86320652173913,-0.434807301618015
False,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,False,84.19351635514018,38.16084112149533,1.008145313634504
False,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,False,84.19351635514018,38.16084112149533,0.40071474547758795
True,3,male,25.0,0,0,7.2292,C,Third,man,True,Cherbourg,True,13.675550101832993,24.802281059063137,-0.500658518765974
False,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.28380934129953256
True,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,False,13.675550101832993,24.802281059063137,-0.41987460999558585
False,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.4554436895282076
False,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,False,20.662183152173913,29.86320652173913,-0.22341015717213955
False,3,male,25.0,0,0,7.8958,C,Third,man,True,Cherbourg,True,13.675550101832993,24.802281059063137,-0.48723782005286725
True,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,False,20.662183152173913,29.86320652173913,0.1909121394926757
True,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,True,13.675550101832993,24.802281059063137,-0.4875720288717055
False,3,male,25.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,3,male,25.0,1,0,15.5,Q,Third,man,True,Queenstown,False,13.675550101832993,24.802281059063137,-0.33414199473902667
True,3,female,21.5,0,0,7.75,Q,Third,woman,False,Queenstown,True,13.675550101832993,24.802281059063137,-0.49017322040145855
False,3,male,25.0,2,0,21.6792,C,Third,man,True,Cherbourg,False,13.675550101832993,24.802281059063137,-0.20973578188569775
False,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.28783595357469205
False,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,False,13.675550101832993,24.802281059063137,0.15282642728807924
False,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48916656733266867
True,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,False,84.19351635514018,38.16084112149533,0.8985892468519636
True,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,False,20.662183152173913,29.86320652173913,-0.12274485029315124
False,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,False,84.19351635514018,38.16084112149533,0.6016265915589479
True,1,male,40.0,0,0,35.5,S,First,man,True,Southampton,True,84.19351635514018,38.16084112149533,0.06851923277692655
True,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,True,20.662183152173913,29.86320652173913,-0.434807301618015
False,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,True,13.675550101832993,24.802281059063137,-0.500658518765974
True,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,False,20.662183152173913,29.86320652173913,-0.08751199288550533
False,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,False,13.675550101832993,24.802281059063137,0.29803613246101984
False,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,True,13.675550101832993,24.802281059063137,-0.500658518765974
False,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,False,84.19351635514018,38.16084112149533,1.0344028522808193
False,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,False,13.675550101832993,24.802281059063137,-0.08449203367913571
False,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,True,84.19351635514018,38.16084112149533,-0.08809987827767862
True,3,male,25.0,1,1,15.2458,C,Third,man,True,Cherbourg,False,13.675550101832993,24.802281059063137,-0.33925981894075447
True,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,True,20.662183152173913,29.86320652173913,-0.434807301618015
False,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4819528914417204
True,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.48664993466069395
False,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,False,13.675550101832993,24.802281059063137,-0.4718018018960432
False,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,True,20.662183152173913,29.86320652173913,-0.434807301618015
False,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,0.29803613246101984
False,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,True,20.662183152173913,29.86320652173913,0.8335755650572377
False,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,False,13.675550101832993,24.802281059063137,-0.3551971503258359
True,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,0.4912289628108992
False,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4921865265390384
False,3,male,25.0,0,0,7.8958,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48723782005286725
False,3,male,25.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
True,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,False,20.662183152173913,29.86320652173913,-0.06234566616575826
True,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,True,13.675550101832993,24.802281059063137,-0.3950445054008146
False,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4650068936817115
True,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4549403629938127
True,3,female,21.5,0,0,7.7875,Q,Third,woman,False,Queenstown,True,13.675550101832993,24.802281059063137,-0.4894182305998661
False,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,True,84.19351635514018,38.16084112149533,0.30206274473617944
True,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,True,20.662183152173913,29.86320652173913,-0.434807301618015
True,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.32709542325749746
False,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,False,13.675550101832993,24.802281059063137,0.045869538729154176
False,3,male,25.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
True,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,False,84.19351635514018,38.16084112149533,4.648790695770894
False,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4880753554061005
False,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,False,84.19351635514018,38.16084112149533,0.5854355836005315
False,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,False,13.675550101832993,24.802281059063137,-0.2319667082568536
False,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.5002397510893574
False,3,male,25.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,True,84.19351635514018,38.16084112149533,0.05149068946527694
True,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,False,84.19351635514018,38.16084112149533,0.6293920965023105
True,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,False,20.662183152173913,29.86320652173913,-0.18314403442054422
False,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,False,20.662183152173913,29.86320652173913,-0.12274485029315124
False,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,True,13.675550101832993,24.802281059063137,-0.48723782005286725
False,3,male,25.0,0,0,7.8958,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48723782005286725
False,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,False,84.19351635514018,38.16084112149533,0.9098295350180712
False,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.47196890630546234
False,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,False,13.675550101832993,24.802281059063137,-0.48664993466069395
False,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48723782005286725
True,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,True,13.675550101832993,24.802281059063137,-0.4921865265390384
True,3,male,25.0,0,0,7.775,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48966989386706367
False,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48723782005286725
True,3,female,21.5,1,0,24.15,Q,Third,woman,False,Queenstown,False,13.675550101832993,24.802281059063137,-0.15999101383837694
False,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,True,84.19351635514018,38.16084112149533,0.40071474547758795
False,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,False,13.675550101832993,24.802281059063137,-0.3551971503258359
False,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.4841333019887193
False,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,False,13.675550101832993,24.802281059063137,-0.4483971180466784
False,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,True,13.675550101832993,24.802281059063137,-0.3551146047741951
False,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,True,13.675550101832993,24.802281059063137,-0.48664993466069395
False,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,True,13.675550101832993,24.802281059063137,-0.49017322040145855
